Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,FumblesLost,FantasyPointsPerGame,FantasyPoints
280,Cooper Helfet,SEA,TE,10,0,0,0,0,0,12,185,2,0,3,30.5
281,Josh Gordon,CLE,WR,5,0,0,0,0,0,24,303,0,0,6.1,30.3
282,Jim Dray,CLE,TE,16,0,0,0,0,0,17,242,1,0,1.9,30.2
283,Chad Henne,JAX,QB,3,492,3,1,25,0,0,0,0,1,10.1,30.18
284,Bruce Miller,SF,FB,16,0,0,0,9,0,18,189,2,1,1.9,29.8
285,Bilal Powell,NYJ,RB,15,0,0,0,141,1,11,92,0,0,2,29.3
286,Rhett Ellison,MIN,TE,16,0,0,0,0,0,19,208,1,0,1.8,28.8
287,Bryce Brown,BUF,RB,7,0,0,0,126,0,16,176,0,1,4,28.2
288,Montee Ball,DEN,RB,5,0,0,0,172,1,9,62,0,1,5.5,27.4
289,Bruce Ellington,SF,WR,13,0,0,0,28,1,6,62,2,0,2.1,27
290,Kenbrell Thompkins,OAK,WR,14,0,0,0,5,0,21,262,0,0,1.9,26.7
291,Albert Wilson,KC,WR,12,0,0,0,0,0,16,260,0,0,2.2,26
291,Danny Amendola,NE,WR,16,0,0,0,0,0,27,200,1,0,1.6,26
293,Nick Toon,NO,WR,8,0,0,0,4,0,17,215,1,1,3.2,25.9
294,Rishard Matthews,MIA,WR,14,0,0,0,3,0,12,135,2,0,1.8,25.8
295,Kerwynn Williams,ARI,RB,4,0,0,0,246,0,2,11,0,0,6.4,25.7
295,Garrett Graham,HOU,TE,11,0,0,0,0,0,18,197,1,0,2.3,25.7
297,Benjamin Watson,NO,TE,16,0,0,0,0,0,20,136,2,0,1.6,25.6
298,Marlon Brown,BAL,WR,14,0,0,0,0,0,24,255,0,0,1.8,25.5
299,Brandon Tate,CIN,WR,16,0,0,0,21,0,17,193,1,1,1.6,25.4
300,Greg Salas,NYJ,WR,10,0,0,0,20,1,8,167,0,0,2.5,24.7
